model,roc_auc,ap,f1,precision,recall,threshold,dataset
SAAB-DL,0.9999605464875101,0.977046130952381,0.9375,0.9375,0.9375,0.18943144853002641,A1_week0-8
LGBM,1.0,1.0,1.0,1.0,1.0,0.011160532638935641,A1_week0-8
XGB+SMOTE,1.0,1.0,1.0,1.0,1.0,0.9998315572738647,A1_week0-8
SAAB-DL,0.9859216745442267,0.8536015279967001,0.9,0.9,0.9,0.9691362674918323,A2_week2-10
LGBM,0.9936444969615125,0.9136972682699552,0.9,0.9,0.9,0.9989053937875445,A2_week2-10
XGB+SMOTE,0.986647535449021,0.9178950150557456,0.8717948717948718,0.8947368421052632,0.85,0.9999905824661255,A2_week2-10
SAAB-DL,0.999964970941804,0.9877777777777779,0.9795918367346939,1.0,0.96,0.9744043927026115,A3_week4-12
LGBM,0.99996815540164,0.9885714285714287,0.9795918367346939,1.0,0.96,0.9986071998541091,A3_week4-12
XGB+SMOTE,0.99993631080328,0.9822222222222222,0.9795918367346939,1.0,0.96,0.9999760389328003,A3_week4-12
SAAB-DL,0.9996789407258154,0.8880106399383627,0.9230769230769231,0.9,0.9473684210526315,0.9025359539388134,A5_peak_hours
LGBM,0.999656798706906,0.924724503765566,0.9230769230769231,0.9,0.9473684210526315,0.9640498992758705,A5_peak_hours
XGB+SMOTE,0.9995903726501782,0.9050569960338577,0.9230769230769231,0.9,0.9473684210526315,0.9997000694274902,A5_peak_hours
SAAB-DL,0.9652928870292887,0.8941230881612935,0.8421052631578947,0.8888888888888888,0.8,0.5629509960229129,A6_offpeak_hours
LGBM,0.9906415620641562,0.9088819447698822,0.8571428571428571,0.8181818181818182,0.9,0.028884910720427565,A6_offpeak_hours
XGB+SMOTE,0.9815934449093445,0.9450572071579743,0.95,0.95,0.95,0.9939508438110352,A6_offpeak_hours
SAAB-DL,0.9778279058671167,0.9055939725380197,0.8923076923076924,0.8529411764705882,0.9354838709677419,0.6454767047296728,A7_weekdays
LGBM,0.9780579554555834,0.9503844372691748,0.9333333333333333,0.9655172413793104,0.9032258064516129,0.9999426903171924,A7_weekdays
XGB+SMOTE,0.9917054342825009,0.9071975759199101,0.9090909090909091,0.8571428571428571,0.967741935483871,0.9972156286239624,A7_weekdays
SAAB-DL,0.9998240822059823,0.9119320509508934,0.9113924050632911,0.9,0.9230769230769231,0.2457312629488968,B1_0.1pct
LGBM,0.9998536256523058,0.9231922713781409,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.030644923640320128,B1_0.1pct
XGB+SMOTE,0.9983428812380315,0.9129228641681933,0.9382716049382716,0.9047619047619048,0.9743589743589743,0.5895232558250427,B1_0.1pct
SAAB-DL,0.999853625652306,0.9543117609452711,0.9090909090909091,0.9210526315789473,0.8974358974358975,0.1269532077260934,B2_0.2pct_orig
LGBM,0.9994843325732611,0.9469790523771632,0.9090909090909091,0.9210526315789473,0.8974358974358975,0.1442156992516922,B2_0.2pct_orig
XGB+SMOTE,0.9998603400719248,0.9429833266807431,0.9024390243902439,0.8604651162790697,0.9487179487179487,0.7359156608581543,B2_0.2pct_orig
SAAB-DL,0.9999634648598379,0.9918746348371971,0.9873417721518988,0.975,1.0,0.14621781197978878,B3_0.5pct
LGBM,0.9999933572472434,0.9987015121630506,0.9873417721518988,0.975,1.0,0.49509342390140515,B3_0.5pct
XGB+SMOTE,0.9999568221070811,0.9891589597077288,0.9873417721518988,0.975,1.0,0.9064478874206543,B3_0.5pct
